CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,LATITUD,LONGITUD,ALTITUD,CVE_CARTA,AMBITO,PTOT,PMAS,PFEM,VTOT
7,Chiapas,Chis.,106,Venustiano Carranza,908,Librado de Jesús Hernández Ruiz,161829.275,923336.329,603,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,909,El Potrillo,161829.521,923306.363,616,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,910,Los Cerillos,161826.494,923257.647,620,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,911,Piedras Negras,162634.707,924138.696,526,E15D71,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,912,Hugo Miguel Ruiz Robles,161855.212,922503.284,939,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,913,Rancho Dos Leones,162524.205,924313.185,456,E15D71,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,914,Río San Martín,162556.046,924242.44,444,E15D71,R,-,-,-,-
7,Chiapas,Chis.,112,San Juan Cancuc,1,San Juan Cancuc,165332.076,922219.029,1421,E15D52,U,6327,3029,3298,1161
7,Chiapas,Chis.,112,San Juan Cancuc,2,Baquelchán,165911.906,922104.66,723,E15D52,R,937,452,485,155
7,Chiapas,Chis.,112,San Juan Cancuc,3,Cruztón,165658.258,922615.783,1420,E15D52,R,868,428,440,148
7,Chiapas,Chis.,112,San Juan Cancuc,4,Crusiljá,165213.342,922131.851,1697,E15D52,R,243,124,119,44
7,Chiapas,Chis.,112,San Juan Cancuc,5,Chiloljá,165307.484,922530.766,1602,E15D52,R,2415,1167,1248,389
7,Chiapas,Chis.,112,San Juan Cancuc,6,Chicjá,165525.766,922247.21,925,E15D52,R,415,210,205,88
7,Chiapas,Chis.,112,San Juan Cancuc,7,Chacté,165616.846,922059.906,800,E15D52,R,670,340,330,141
7,Chiapas,Chis.,112,San Juan Cancuc,8,Chijil,165655.907,922406.131,1154,E15D52,R,457,232,225,84
7,Chiapas,Chis.,112,San Juan Cancuc,9,Chancolom,165839.548,922435.476,1372,E15D52,R,1132,555,577,202
7,Chiapas,Chis.,112,San Juan Cancuc,10,Independencia,165617.584,921939.092,890,E15D53,R,349,159,190,59
7,Chiapas,Chis.,112,San Juan Cancuc,11,Iwiltic,165848.574,922559.529,1507,E15D52,R,848,396,452,159
7,Chiapas,Chis.,112,San Juan Cancuc,12,Juc'Nil,165946.336,922452.659,754,E15D52,R,509,261,248,92
7,Chiapas,Chis.,112,San Juan Cancuc,13,Juchiljá,165558.321,922204.761,846,E15D52,R,294,138,156,47
7,Chiapas,Chis.,112,San Juan Cancuc,14,El Joob,165902.511,922342.092,1041,E15D52,R,243,113,130,42
7,Chiapas,Chis.,112,San Juan Cancuc,15,Nichteel San Antonio,165654.085,922545.398,1294,E15D52,R,1726,833,893,304
7,Chiapas,Chis.,112,San Juan Cancuc,16,Nailchén,165221.624,922611.244,1660,E15D52,R,953,475,478,141
7,Chiapas,Chis.,112,San Juan Cancuc,17,Oniltic,165810.605,922315.812,1530,E15D52,R,849,423,426,153
7,Chiapas,Chis.,112,San Juan Cancuc,18,El Pozo,165510.557,922444.148,1088,E15D52,R,1758,855,903,303
7,Chiapas,Chis.,112,San Juan Cancuc,19,La Palma Uno,165831.165,922216.423,1328,E15D52,R,526,252,274,88
7,Chiapas,Chis.,112,San Juan Cancuc,20,San José Chacté,165653.087,921847.05,1213,E15D53,R,488,229,259,83
7,Chiapas,Chis.,112,San Juan Cancuc,21,Tzuluwitz,165323.465,922405.585,1380,E15D52,R,857,431,426,144
7,Chiapas,Chis.,112,San Juan Cancuc,22,Tzametal,165159.628,922456.57,1899,E15D52,R,591,284,307,110
7,Chiapas,Chis.,112,San Juan Cancuc,23,Tzajalchén,165644.405,922125.928,968,E15D52,R,322,156,166,49
7,Chiapas,Chis.,112,San Juan Cancuc,24,Tzajalhucum,165916.848,922416.92,1032,E15D52,R,714,339,375,121
7,Chiapas,Chis.,112,San Juan Cancuc,25,Tzunjok,165653.03,922311.261,1222,E15D52,R,549,276,273,122
7,Chiapas,Chis.,112,San Juan Cancuc,26,Yashnail,165141.561,922336.674,1823,E15D52,R,346,169,177,57
7,Chiapas,Chis.,112,San Juan Cancuc,27,Yocwitz,165901.16,922306.169,1003,E15D52,R,700,359,341,129
7,Chiapas,Chis.,112,San Juan Cancuc,28,Bapuz,165631.14,922256.353,1166,E15D52,R,416,206,210,86
7,Chiapas,Chis.,112,San Juan Cancuc,30,Tzumbal,165618.037,922554.763,1082,E15D52,R,416,203,213,66
7,Chiapas,Chis.,112,San Juan Cancuc,31,Chojchow,165414.472,922131.323,1109,E15D52,R,555,281,274,92
7,Chiapas,Chis.,112,San Juan Cancuc,32,El Rosario,165940.169,922339.055,818,E15D52,R,440,216,224,68
7,Chiapas,Chis.,112,San Juan Cancuc,33,Palma Pajal Uno,165603.591,922016.881,811,E15D52,R,68,34,34,10
7,Chiapas,Chis.,112,San Juan Cancuc,34,San Juan Bawitz,165713.963,922019.299,1282,E15D52,R,157,80,77,23
7,Chiapas,Chis.,112,San Juan Cancuc,35,Tzemen,165756.315,922441.927,1853,E15D52,R,186,98,88,30
7,Chiapas,Chis.,112,San Juan Cancuc,36,Yanch'En,165143.866,922157.479,1675,E15D52,R,200,100,100,34
7,Chiapas,Chis.,112,San Juan Cancuc,37,Te'Mash,165932.122,922513.214,970,E15D52,R,272,135,137,59
7,Chiapas,Chis.,112,San Juan Cancuc,38,Axultic,165942.654,922431.587,832,E15D52,R,220,116,104,38
7,Chiapas,Chis.,112,San Juan Cancuc,39,Wuy Pajch'Ul,165942.492,922208.755,720,E15D52,R,-,-,-,-
7,Chiapas,Chis.,112,San Juan Cancuc,40,Río Tanate'El,165614.07,922108.31,792,E15D52,R,-,-,-,-
7,Chiapas,Chis.,112,San Juan Cancuc,41,K'Analumtik,165250.297,922355.955,1500,E15D52,R,-,-,-,-
7,Chiapas,Chis.,112,San Juan Cancuc,42,Ik'Alumil,165908.868,922319.262,932,E15D52,R,-,-,-,-
7,Chiapas,Chis.,117,Montecristo de Guerrero,1,Montecristo de Guerrero,154138.103,923709.336,1218,D15B22,U,2546,1260,1286,518
7,Chiapas,Chis.,117,Montecristo de Guerrero,2,La Aleluya,153920.299,923744.109,943,D15B22,R,21,*,*,2
7,Chiapas,Chis.,117,Montecristo de Guerrero,3,Argelia,154449.819,923444.338,1376,D15B22,R,0,0,0,0
